"question","answer"
"Cicaderm Cream có dùng được cho phụ nữ mang thai được hay không? Vì sao?","Cicaderm Cream dùng được cho phụ nữ có thai và cho con bú vì chứa thành phần lành tính đối với các đối tượng này như nước khoáng Herculane, chiết xuất cây Mimosa, dầu cọ, dầu hướng dương,..."
"Khi sử dụng Cicaderm Cream cho trẻ em, cần lưu ý gì không? Có hạn chế sử dụng ở vùng khóe miệng cho trẻ hay không?","Cicaderm Cream có thể dùng cho trẻ em tuy nhiên cần có sự giám sát của người lớn. Trường hợp vùng khóe miệng bị tổn thương có thể cân nhắc bôi ở vùng da và bán niêm mạc miệng."
"Khi Cicaderm Cream tiếp xúc với niêm mạc miệng hoặc mắt của trẻ em, cần xử lý như thế nào?","Khi Cicaderm Cream tiếp xúc:
- Đối với niêm mạc miệng: chỉ cần lau sạch, rửa bằng nước muối sinh lý.
- Đối với niêm mạc mắt: rửa nhiều lần với nước muối sinh lý, nếu sau đó trẻ bị rát, cay, đau mắt... cần đưa trẻ đến viện ngay."
"Có thể sử dụng Cicaderm Cream cho vùng dưới cánh tay và vùng kín sau khi triệt lông hay không?","Cicaderm Cream được chỉ định sử dụng cho vùng da vì thế sau triệt lông vùng dưới cánh và vùng kín có thể dùng được Cicaderm Cream ở những vùng da giúp làm dịu, giảm đỏ, rát."
"Có thể sử dụng Lip Balm cho phụ nữ có thai, cho con bú, trẻ em hay không?","Lip Balm chứa các thành phần nước khoáng Herculane, vitamin B5, vitamin E, alphabisabolol,... là những thành phần lành tính có tác dụng dưỡng ẩm, làm mềm phù hợp với mọi đối tượng và an toàn cho phụ nữ có thai, cho con bú, trẻ em."
"Có thể sử dụng Lip Balm sau khi phun xăm môi hay không? Thích hợp bôi nhất khi nào?","Sau các thủ thuật phun xăm, khách hàng nên sử dụng sản phẩm theo khuyến cáo của người thực hiện. Sản phẩm Lip Balm chỉ đóng vai trò hỗ trợ dưỡng ẩm, làm mềm môi sau khi đã bong mài."
"Sau khi dùng sữa rửa mặt Aquafil Hydra Cleansing Foam da bị khô? Vì sao?","Một số trường hợp thời gian rửa mặt quá lâu, lực massage quá mạnh hoặc nền da dễ mất nước có thể bị khô sau khi sử dụng sữa rửa mặt. Lưu ý cần cấp ẩm ngay sau khi rửa mặt để da không bị khô/ mất nước."
"Da khô, mụn, kích ứng, nhạy cảm nên sử dụng loại nào của dòng Ivapur (Ivapur Mat, Ivapur Hidra, Ivapur K, Ivapur A.I)?","Da khô, mụn, kích ứng, nhạy cảm nên sử dụng kem dưỡng Ivapur Hidra vì trong sản phẩm có chứa các thành phần nước khoáng Herculane, anphabisabolol giúp làm dịu, kháng viêm, aquaphyline và bơ hạt mỡ giúp dưỡng ẩm cho da khô."
"Có thể sử dụng IVAHIDRA+ Cleansing gel for sensitive dry and atopic skin for face and body cho da mụn lưng hay không?","Có thể sử dụng sản phẩm này cho trường hợp mụn nhẹ, đối với mụn lưng nặng nên sử dụng sản phẩm anti acne (Floslek) hoặc Rose De Mer (Christina)."
"Có thể sử dụng IVAPUR HIDRA hydrating cream for sensitive and oily skin, affected by over-drying skincare cho da bong tróc do treatment hay không?","Có thể sử dụng Ivapur Hidra cho da khô, bong tróc khi điều trị mụn nhằm cung cấp độ ẩm cho da. Trường hợp da vẫn bong tróc sau khi sử dụng có thể bôi nhiều lớp hoặc thêm sản phẩm cấp ẩm kèm theo."
"Rosederm có dùng được cho bệnh lý chàm, vảy nến, viêm da mủ hay không?","Có thể sử dụng Ivapur Hidra cho da khô, bong tróc khi điều trị mụn nhằm cung cấp độ ẩm cho da. Trường hợp da vẫn bong tróc sau khi sử dụng có thể bôi nhiều lớp hoặc thêm sản phẩm cấp ẩm kèm theo."
"Purasomes meso vi điểm nông và meso vi điểm sâu có gì khác nhau không?","Về mặt hiệu quả, 2 cách meso vi điểm có hiệu quả như nhau vì cấu trúc exosome cho phép thâm nhập vào sâu trong da. Tuy nhiên về trải nghiệm, với cách meso vi điểm nông, bệnh nhân sẽ có trải nghiệm dễ chịu hơn, nốt sần ít đỏ hơn."
"Purasomes dùng để lăn/phi kim có làm giảm tác dụng so với meso  vi điểm không?","Vì cấu trúc của exosome cho phép các hoạt chất thâm nhập sâu vào trong da nên việc lăn/phi kim không làm giảm tác dụng của sản phẩm so với meso  vi điểm. Đồng thời, lăn/phi kim tạo kích thích cho quá trình sửa chữa, tái tạo da, kết hợp với exosome giúp da tăng tốc quá trình phục hồi."
"Da đang nhạy cảm, kích ứng có dùng mesotherapy Purasomes được không?","Da đang nhạy cảm kích ứng có thể sử dụng exosome cho quá trình phục hồi, nhưng sẽ không áp dụng bằng phương pháp mesotherapy, mà sử dụng dưới dạng bôi thoa hoặc điện di."
"Purasomes dùng không hết thì bảo quản như thế nào và được trong bao lâu?","Purasomes dùng không hết sẽ bọc bằng màng bọc nilon, đảm bảo vệ sinh khi bọc, để ở ngăn mát tủ lạnh và có thể sử dụng trong vòng 4 tuần"
"Tại sao Peeling System bong ít/ không bong?","Với 2 công nghệ đặc trưng là Liposome và Polymer, giúp hoạt chất thẩm thấu sâu và đi đúng đích cần điều trị, sẽ giúp tăng sinh và tái tạo sâu hơn từ bên trong mà không gây bong lột quá nhiều trên da. Bên cạnh các thành phần acid nồng độ cao như TCA, Lactic, Mandelic,... các sản phẩm peel của Dermoaroma là sự kết hợp của nhóm thành phần Bio Booster như PDRN, DMAE, tế bào gốc thực vật, giúp kích thích tăng sinh, chống oxy hoá, phục hồi và bảo vệ tế bào. Do đó, các sản phẩm Peeling System hỗ trợ tái tạo da mà không chờ thời gian phục hồi, cải thiện các tình trạng, vấn đề da một cách an toàn và chuyên sâu."
"Peeling System dùng không hết thì bảo quản như thế nào và dùng trong bao lâu?","Peeling System dùng không hết có thể bảo quản ở nhiệt độ phòng, khô ráo, thoáng mát, tránh ánh nắng trực tiếp và có thể sử dụng đến khi hết sản phẩm."
"Giải thích hiện tượng sản phẩm Purasome đổi màu?","Đối với một số trường hợp sản phẩm có hiện tượng tương tác giữa các peptide, có những peptides hoạt động trong môi trường dung môi nó nhạt hơn hoặc đậm hơn thì các peptides còn lại lập tức chuyển màu tương tự, tuy nhiên vẫn có thể sử dụng bình thường và chất lượng sản phẩm không thay đổi."
"Tại sao nên ứng dụng sản phẩm Purasomes bằng phương pháp lăn phi kim?","Công dụng của các thành phần trong Purasomes nhằm thúc đầy quá trình sửa chữa, tái tạo và phục hồi mô da. Khi kết hợp cùng phương pháp lăn, phi kim, tạo ra một số lượng lớn các vi tổn thương, từ đó kích thích quá trình tăng sinh và lành thương. Kết hợp cả lăn, phi kim và exosome đem lại 1 quá trình sửa chữa và phục hồi da toàn diện, giúp da săn chắc và mịn màng."
"Trường hợp khách tiêm Purasomes Nutri Complex đến ngày thứ 5 vẫn có những nốt đỏ thì là bình thường hay có vấn đề gì không ạ? Và cách xử lý như thế nào?","Sau meso, khách hàng có thể xuất hiện 1 vài phản ứng như vết đỏ do kim, vết bầm xuất huyết, nốt sần. Thông thường các hiện tượng này chỉ tồn tại trong 1 vài ngày đầu (vết kim 2-3 ngày, vết bầm 5-7 ngày, nốt sần 2-3 ngày). Với trường hợp sau meso 5 ngày vẫn còn nốt sần, dát đỏ ở vị trí nốt sần thì đây là tình trạng cần theo dõi và xử lý. Có thể liên quan đến quy trình thực hiện kĩ thuật chưa đảm bảo hoặc do nền da nhạy cảm của khách hàng. Xử lý với thuốc bôi giảm viêm + dưỡng ẩm phục hồi, đắp mask, điện di và chống nắng cẩn thận."
"Khách hàng tiêm Purasomes Skin Glow sau 19 tiếng vẫn còn các nố sần nhẹ, đỏ thì xử lý như thế nào?","- Trường hợp này, nốt sần đỏ vẫn còn sau 19 tiếng là bình thường. Với các sản phẩm meso làm sáng da và cải thiện vấn đề sắc tố (có chứa các hoạt chất làm trắng sáng) thường gây đau buốt cho khách hàng. Khách hàng sẽ có phản ứng mạnh hơn so với các sản phẩm khác nên các nốt meso có thể sẽ đỏ lâu hơn.
- Xử lý: Đắp mask cấp ẩm, phục hồi và điện di lạnh.
- Phản hồi case này: KH sử dụng mask giấy lạnh, sau 3 tiếng, da tan hoàn toàn các nốt sần, không còn đỏ, không phải sử dụng thuốc bôi hay sản phẩm đặc biệt nào sau đó. Tổng thời gian nốt sần của khách biến mất hoàn toàn là 21 tiếng (chưa đầy 1 ngày) là bình thường."
"Quá trình lọc dòng chéo và siêu ly tâm có gì đặc biệt để đảm bảo về mặt số lượng và chất lượng của các exosomes thành phẩm?
(Hay: Tính toàn vẹn của các exosome và GF được đảm bảo như thế nào?)","Tính toàn vẹn của các GF và exosome trong sản phẩm được đảm bảo vì thực tế rằng tất cả các pha của quy trình sản xuất và tách chiết đều được thực hiện bằng việc sử dụng các quy trình lọc micro-, nano- và siêu ly tâm, luôn duy trì ở nhiệt độ thấp và giá trị pH trung tính. Phương pháp này cho phép đảm bảo tính toàn vẹn của màng exosome và hoạt tính sinh học của các GF."
"Có nên uống liên tục Collagenat và lượng uống hằng ngày là bao nhiêu?","Nên sử dụng liên tục trong thời gian trị liệu tấn công là 1 tháng, mỗi ngày sử dụng 1 ống. Sau thời gian tấn công, khách hàng có thể sử dụng liệu trình duy trì. 1 năm uống 2-3 đợt tùy từng tình trạng da được tư vấn cụ thể"
"Nên uống Collagenat khi nào là tốt nhất?","Thời điểm buổi sáng là thời gian cơ thể hấp thụ dinh dưỡng tốt nhất. Với những người không có vấn đề về dạ dày thì uống trước bữa ăn sáng, còn những người có vấn đề dạ dày thì dùng sau ăn sáng 30 phút."
"Phụ nữ có thai và cho con bú có dùng Collagenat được không?","Trong giai đoạn mang thai và cho con bú, nội tiết tố ở phụ nữ có sự thay đổi nhiều, ảnh hưởng đến quá trình trao đổi chất và chuyển hóa, nên sản phẩm không được khuyến cáo sử dụng trong giai đoạn này."
"Nên uống collagen dạng nào là tốt nhất?","Dạng collagen thủy phân được bào chế dưới dạng nước đã pha sẵn là dạng sử dụng tốt nhất hiện tại vì dễ dàng hấp thu cũng như đảm bảo về hàm lượng, nồng độ các chất. Và đây cũng là dạng tiện lợi cho việc sử dụng."
"Collagenat có làm tăng cân hay nổi mụn không","Thành phần hoạt chất có trong sản phẩm không có thành phần gây mụn hay kích thích ăn khiến tăng cân. Sản phẩm chứa các chất có khả năng chống oxy hóa như vitamin C, resveratrol giúp thải độc cho cơ thể nói chung và da nói riêng, nên một số trường hợp da khách hàng có thể nổi mụn, nhưng tình trạng này sẽ tự hết khi cơ thể được thải độc tốt."
"Có thể bổ sung thêm các thực phẩm có collagen khi uống cùng Collagenat?","Lượng  bổ sung collagen của CollagenaT hiện tại là 5000mg là hàm lượng tối đa để bổ sung, nên không cần thiết bổ sung collagen qua các thực phẩm bổ sung khác."
"Sản phẩm Collagen Plus có gì khác biệt với CollagenaT","Collagen Plus được bổ sung thêm HA gấp 1.5 lần so với CollagenaT"
"Sản phẩm Collagen noage / Plus lắng cặn có ảnh hưởng đến chất lượng không?","Phản hồi về thông tin sản phẩm Collagen No-age Drink: sản phẩm có thể đóng cặn qua thời gian bảo quản và lưu thông.
Chúng tôi khẳng định đây chỉ là hiện tượng lắng của vi chất nhưng sản phẩm vẫn đảm bảo chất lượng an toàn, không bị thay đổi mùi vị, không ảnh hưởng đến chất lượng sản phẩm. Đối với Collagen No-age Drink, nhà sản xuất có khuyến cáo lắc đều trước khi uống để vi chất phân bố đều trong sản phẩm.
Trong quá trình sản xuất, nhà máy đã tiến hành kiểm tra, kiểm soát chặt chẽ, từ khâu nguyên liệu đầu vào, bán thành phẩm đến thành phẩm, trước khi xuất kho, nhà máy đã kiểm tra chất lượng sản phẩm với các chỉ tiêu cảm quan, hóa lý, vi sinh. Tất cả các quá trình này đều được thực hiện theo tiêu chuẩn ISO9001-2008, ISO22000, ISO134852012, chứng nhận Ivegan và chứng chỉ nhà máy đạt chuẩn GMP."
"Có thể sử dụng Skin Detox cùng các loại vitamin tổng hợp khác được không?","Hoàn toàn có thể sử dụng cùng các loại vitamin tổng hợp khác, không có tương tác nào của các loại bổ sung vitamin với Skin Detox. Các thành phần trong sản phẩm là những thành phần lành tính, an toàn và thân thiện với cơ thể."
"Dùng Skin Detox trong bao lâu thấy có hiệu quả?","Thường sau khoảng 1 tháng sử dụng liên tục sản phẩm, bạn sẽ cảm nhận được làn da trở nên khô thoáng, giảm bớt dầu nhờn, làn da trở nên sáng hơn. Với những làn da nhiễm độc nhiều thì thời gian để thấy sự thay đổi rõ rệt có thể tới 2 tháng.
"
"Có thể dùng Skin Detox thường xuyên được không?","Sản phẩm giúp thanh lọc, thải độc cho làn da cũng như giúp kiềm dầu, nên bạn sẽ sử dụng liên tục từ 1-3 hộp hoặc đến khi da thấy được sự thay đổi, da không đổ dầu nhiều, làn da trở nên sáng đều hơn"
"Skin Detox chống chỉ định cho những đối tượng nào?","Phụ nữ có thai và cho con bú, trẻ em dưới 15 tuổi, người mẫn cảm với bất cứ thành phần nào của viên uống."
"Uống Skin Detox vào thời điểm nào là tốt nhất?","Sử dụng trước bữa ăn chính, sáng hoặc trưa, sẽ hỗ trợ tốt nhất cho việc thải độc, cũng như hỗ trợ chức năng của gan"
"Khi uống sản phẩm, mụn đẩy lên thì có cần dùng thuốc trị mụn hay có đi lấy mụn được không?","Khi bị đẩy mụn, bạn có thể dùng sản phẩm chấm mụn để giảm quá trình viêm nhiễm, ngăn cho mụn không lây lan, có thể đi lấy nhân mụn để giúp giải phóng nhanh tổn thương mụn, làm sạch da."
"Đối tượng thích hợp sử dụng viên uống chống nắng  Solesan Protect?","Dành cho tất cả mọi người từ trên 15 tuổi để giảm tác hại của ánh sáng mặt trời, bảo vệ da. Đặc biệt phù hợp cho những người thường xuyên phải tiếp xúc với môi trường nắng nóng, người đang có vấn đề về sắc tố da như sạm, nám, tàn nhang…"
"Viên uống Solesan Protect có gây tác dụng phụ không?","Thành phần của sản phẩm hoàn toàn từ thảo dược tự nhiên nên hầu như không gây tác dụng phụ."
"Có thể dùng Solesan Protect với liều cao thường xuyên để tăng cường hiệu quả được không?","Sử dụng liều cao 2 viên/ngày chỉ trong thời gian ngắn như khi đi tắm nắng, hay thời gian làm việc ở môi trường nắng nóng kéo dài, ít có che chắn, còn thông thường chỉ cần dùng liều lượng 1 viên/ngày là đủ"
"Uống Solesan Protect vào thời điểm nào là tốt nhất?","Uống trước khi ra nắng 20-30 phút là thời điểm tốt nhất để tận dụng tối đa khả năng bảo vệ da của sản phẩm."
"Kết hợp uống Solesan Protect khi thoa đủ lượng Kem chống nắng thì sẽ có thêm những lợi ích nào?","Kết hợp cả viên uống và kem chống nắng đủ lượng sẽ giúp bảo vệ da tối đa, ngăn quá trình tăng sắc tố, giúp làm sáng da từ bên trong."
"Sự khác biệt về màu sắc giữa các viên có ảnh hưởng đến chất lượng sản phẩm không?","Vì thành phần là hoàn toàn từ thảo dược tự nhiên, không chứa chất bảo quản nên hiện tượng viên uống có những sự khác biệt về màu sắc không làm ảnh hưởng đến chất lượng sản phẩm."
"Phác đồ uống Oxantin như thế nào?","Chia thành 2 giai đoạn: Tấn công và duy trì.
- Tấn công: Uống liên tục từ 1-2 tháng. 
  + Nếu tăng cân: Điều chỉnh lại chế độ ăn, hoạt động thể lực, các phương pháp khác đang sử dụng.
  + Nếu giảm cân: Chuyển sang giai đoạn duy trì.
Duy trì: Sau khi đạt hiệu quả tiếp tục duy trì uống Oxantin khi khách hàng cảm thấy cân nặng ổn định và ko giảm thêm."
"Cơ chế giảm cân của Oxantin?","2 cơ chế  chính: ngăn cản cơ thể tích tụ mỡ và tăng cường đốt cháy chuyển hóa mỡ thừa."
"Điểm khác biệt của Oxantin với các sản phẩm giảm cân hiện nay trên thị trường?","Thành phần từ thảo được thiên nhiên
- Cơ chế giảm mỡ an toàn, lành tính, không tác dụng phụ
- Giảm mỡ đồng thời cung cấp năng lượng cho các hệ cơ quan khác hoạt động
- Hỗ trợ bệnh lý tiểu đường và rối loan lipid máu."
"Lưu ý khi sử dụng Oxantin là gì?","Uống Oxantin làm cho hệ thống tiêu hóa hoạt động tích cực hơn. Nên có thể đi đại tiện 2-3 lần/ngày trong thời gian đầu. Thanh lọc cơ thể bằng cách uống nhiều nước và chia làm nhiều lần trong ngày. Có thể gia tăng cơn thèm ăn trong thời gian đầu, do đó nên bổ sung nhiều trái cây, rau trong giai đoạn này.
Chú ý nên kết hợp chế độ ăn giảm đường và tinh bột trong giai đoạn tấn công, kết hợp tập thể dục phù hợp để đạt được hiệu quả giảm cân cao nhất."
"Sử dụng Oxantin có tốt cho sức khoẻ không?","Oxantin giúp hỗ trợ tiêu hóa tốt hơn. Giảm chướng bụng, ợ hơi, tiêu hóa chậm, táo bón. 
Oxantin còn giúp giảm các chất béo có hại trong máu và trong thành động, tĩnh mạch. Do đó còn tốt cho hệ tim mạch. 
Như vậy sử dụng Oxantin không chỉ giúp giảm mỡ mà còn có lợi cho sức khỏe!"
"Tại vì sao viên uống Oxantin có những màu sắc không đồng nhất?","Oxantin là thực phẩm chức năng với các thành phần chiết xuất hoàn toàn từ thảo dược tự nhiên nên màu sắc viên uống có thể thay đổi theo từng mùa khác nhau."
"Người có bệnh nền cao huyết áp có sử dụng Immuno Plus được không?","Hiện tại sản phẩm không có chống chỉ định cho người gặp vấn đề về cao huyết áp."
"PNCT và cho con bú có dùng được Immuno Plus không?","Các đối tượng này cần được thăm khám lâm sàng, tư vấn y khoa từ bác sĩ trước khi sử dụng."
"Có sử dụng Immuno Plus thường xuyên được không?","Sản phẩm giúp bồi bổ và nâng cao thể trạng cũng như khả năng miễn dịch nên có thể sử dụng thường xuyên trong thời gian dài."
"Sử dụng thường xuyên Immuno Plus có ảnh hưởng đến vấn đề tiêu hoá không?","Các thành phần có trong sản phẩm không gây ảnh hưởng đến quá trình tiêu hóa, nên có thể sử dụng thường xuyên."
"Có cần hạn chế khẩu phần ăn khi đã dùng đủ liều Immuno Plus không?","Sản phẩm chỉ bổ sung những chất hoạt tính sinh học, giúp nâng cao khả năng phòng vệ tự nhiên của cơ thể, bạn vẫn cần bổ sung đầy đủ khẩu phần ăn theo thể trạng cá nhân."
"Bệnh nhân ung thư đang thực hiện xạ trị, hoá trị có sử dụng thêm Immuno Plus được không?","Cần thiết sử dụng cho bệnh nhân ung thư đang thực hiện xạ trị, hóa trị hoặc đang dùng các thuốc ức chế miễn dịch để nâng cao sức đề kháng, thể trạng"
"Tại sao một số hoạt chất mang đến cảm giác buốt khi Meso vi điểm?","Khi thực hiện Meso vi điểm, việc xuất hiện cảm giác đau, buốt phụ thuộc vào các yếu tố sau: 
- Độ pH của thành phần: Độ pH của sản phẩm chênh lệch càng nhiều so với pH của tế bào da, càng gây cảm giác đau buốt.
- Kích thước của thành phần: Kích thước càng to, càng gây cảm giác đau buốt.
- Điện tích: Để thâm nhập vào sâu bên trong nhân tế bào, sản phẩm phải thay đổi điện tích của tế bào để tạo đường dẫn, dẫn đến cảm giác đau buốt.
- Cơ chế tác động của từng sản phẩm: Cơ chế tác động của sản phầm càng tác động sâu vào cơ chế đảo ngược của da (ví dụ biến Eumelanin - sắc tố màu nâu đen) thành Pheomelanin - sắc tố màu nâu đỏ), sẽ càng có khả năng gây đau buốt. 
- Tế bào thụ cảm của mỗi người: Người sở hữu càng nhiều tế bào thụ cảm, sẽ cảm nhận được sự đau buốt nhiều hơn. "
"Với sản phẩm Glutathione và Ascorbic Acid, lý do gây đau buốt khi meso  vi điểm là gì?","Với hai sản phẩm Mesotheraphy làm trắng, trị nám là Glutathion và Ascorbic Acid, sẽ có những yếu tố sau có thể gây nên cảm giác đau buốt khi meso  vi điểm
- Độ pH thấp (Acid) khi đưa vào da sẽ gây cảm giác nóng buốt.
- Để đi qua màng tế bào, hai hoạt chất này phải đảo điện tích màng tế bào, tạo đường dẫn để xâm nhập qua màng tế bào nên tạo ra cảm giác đau buốt.
- Cơ chế tác động của Glutathione là biến các sắc tố màu nâu đen (eumelanin) thành màu nâu đỏ (pheomelanin) dễ dàng phân rã hơn, nên có thể gây nên cảm giác đau buốt."
"Với sản phẩm Glutathione và Ascorbic Acid, làm thế nào để giảm thiểu đau buốt khi meso  vi điểm?","Để giảm thiểu cảm giác đau buốt, có thể thực hiện những phương pháp sau: 
- Massage tê. 
- Điện di tê. 
- Meso nông biểu bì. 
- Kết hợp Glutathione, Ascorbic Acid với HA, TXA… - Về tâm lý, khi mesotherapy, khách hàng hít sâu thở đều để giảm cảm giác đau. 
-Có thể tập trung meso  vi điểm meso ở vùng nhiều nám, các phần còn lại trên mặt sẽ lăn, phi kim. "
